year,energy_type,installed_capacity
2012.0,Bagasse & coal,93.5
2012.0,Batteries,0.0
2012.0,Bioenergies,0.78
2012.0,Geothermy,13.5
2012.0,Hydraulic,8.7
2012.0,Photovoltaic,64.0
2012.0,Thermal,275.8
2012.0,Wind,27.4
2013.0,Bagasse & coal,93.5
2013.0,Batteries,0.0
2013.0,Bioenergies,0.8
2013.0,Geothermy,11.5
2013.0,Hydraulic,8.7
2013.0,Photovoltaic,67.4
2013.0,Thermal,298.2
2013.0,Wind,24.4
2014.0,Bagasse & coal,93.5
2014.0,Batteries,0.0
2014.0,Bioenergies,0.8
2014.0,Geothermy,11.5
2014.0,Hydraulic,8.7
2014.0,Photovoltaic,65.3
2014.0,Thermal,419.1
2014.0,Wind,23.0
2015.0,Bagasse & coal,93.5
2015.0,Batteries,0.0
2015.0,Bioenergies,0.8
2015.0,Geothermy,14.5
2015.0,Hydraulic,8.7
2015.0,Photovoltaic,65.3
2015.0,Thermal,350.0
2015.0,Wind,23.0
2016.0,Bagasse & coal,93.5
2016.0,Batteries,0.0
2016.0,Bioenergies,0.8
2016.0,Geothermy,15.0
2016.0,Hydraulic,7.6
2016.0,Photovoltaic,68.0
2016.0,Thermal,334.7
2016.0,Wind,26.4
2017.0,Bagasse & coal,93.5
2017.0,Batteries,0.0
2017.0,Bioenergies,0.8
2017.0,Geothermy,15.0
2017.0,Hydraulic,11.0
2017.0,Photovoltaic,70.0
2017.0,Thermal,326.4
2017.0,Wind,26.0
2018.0,Bagasse & coal,93.5
2018.0,Batteries,0.0
2018.0,Bioenergies,3.7
2018.0,Geothermy,14.7
2018.0,Hydraulic,10.5
2018.0,Photovoltaic,70.4
2018.0,Thermal,338.0
2018.0,Wind,22.1
2019.0,Bagasse & coal,93.5
2019.0,Batteries,0.0
2019.0,Bioenergies,3.7
2019.0,Geothermy,14.5
2019.0,Hydraulic,10.5
2019.0,Photovoltaic,81.5
2019.0,Thermal,338.0
2019.0,Wind,34.1
2020.0,Bagasse & coal,90.0
2020.0,Batteries,5.0
2020.0,Bioenergies,3.7
2020.0,Geothermy,14.5
2020.0,Hydraulic,10.5
2020.0,Photovoltaic,85.9
2020.0,Thermal,317.6
2020.0,Wind,41.9
2021.0,Bagasse & coal,90.0
2021.0,Batteries,5.0
2021.0,Bioenergies,3.7
2021.0,Geothermy,14.5
2021.0,Hydraulic,10.5
2021.0,Photovoltaic,87.2
2021.0,Thermal,301.2
2021.0,Wind,51.8
2022.0,Bagasse & coal,92.5
2022.0,Batteries,5.0
2022.0,Bioenergies,3.7
2022.0,Geothermy,14.5
2022.0,Hydraulic,11.0
2022.0,Photovoltaic,91.0
2022.0,Thermal,301.2
2022.0,Wind,56.1
2023.0,Bagasse & coal,57.0
2023.0,Batteries,5.0
2023.0,Bioenergies,36.7
2023.0,Geothermy,14.5
2023.0,Hydraulic,11.0
2023.0,Photovoltaic,93.3
2023.0,Thermal,301.2
2023.0,Wind,56.1
2024.0,Bagasse & coal,57.0
2024.0,Batteries,5.0
2024.0,Bioenergies,36.7
2024.0,Geothermy,14.7
2024.0,Hydraulic,11.2
2024.0,Photovoltaic,99.8
2024.0,Thermal,302.2
2024.0,Wind,57.2
