year,energy_type,share
2012,Renewable sources,0.1558386783363566
2013,Renewable sources,0.174530925659306
2014,Renewable sources,0.1844773075667589
2015,Renewable sources,0.1783249169975487
2016,Renewable sources,0.1758956527369888
2017,Renewable sources,0.2048748274340691
2018,Renewable sources,0.2123977685894633
2019,Renewable sources,0.2202022191392798
2020,Renewable sources,0.2332424855203898
2021,Renewable sources,0.3370297337219339
2022,Renewable sources,0.3468830417608085
2023,Renewable sources,0.3521931709668079
2024,Renewable sources,0.294651255320042
2012,Fossil fuel sources,0.8441613216636434
2013,Fossil fuel sources,0.8254690743406939
2014,Fossil fuel sources,0.815522692433241
2015,Fossil fuel sources,0.8216750830024513
2016,Fossil fuel sources,0.8241043472630112
2017,Fossil fuel sources,0.7951251725659308
2018,Fossil fuel sources,0.7876022314105366
2019,Fossil fuel sources,0.7797977808607202
2020,Fossil fuel sources,0.7667575144796102
2021,Fossil fuel sources,0.6629702662780661
2022,Fossil fuel sources,0.6531169582391915
2023,Fossil fuel sources,0.647806829033192
2024,Fossil fuel sources,0.705348744679958
