year,energy sources,generation_mwh
2016,Bagasse & coal,561607.04
2016,Bioenergies,0.0
2016,Geothermy,84078.777611832
2016,Hydraulic,34090.25500038
2016,Photovoltaic,93794.320999947
2016,Thermal,964283.67899981
2016,Wind,53369.840000391
2017,Bagasse & coal,548714.564
2017,Bioenergies,0.0
2017,Geothermy,112820.282782684
2017,Hydraulic,37978.025999998
2017,Photovoltaic,92463.575
2017,Thermal,911552.35232343
2017,Wind,51135.638
2018,Bagasse & coal,503286.972
2018,Bioenergies,0.0
2018,Geothermy,106794.26
2018,Hydraulic,40426.441
2018,Photovoltaic,94825.398
2018,Thermal,894436.207
2018,Wind,52514.158
2019,Bagasse & coal,435436.874
2019,Bioenergies,17295.54
2019,Geothermy,109468.423272046
2019,Hydraulic,44103.223
2019,Photovoltaic,99705.115706836
2019,Thermal,957058.04899751
2019,Wind,62907.320000103
2020,Bagasse & coal,340427.955999852
2020,Bioenergies,16157.72
2020,Geothermy,115068.282926539
2020,Hydraulic,25347.374000005
2020,Photovoltaic,104470.300399456
2020,Thermal,1014747.69899233
2020,Wind,72889.103059873
2021,Bagasse & coal,277620.05
2021,Bioenergies,201357.93
2021,Geothermy,84034.85
2021,Hydraulic,11462.0
2021,Photovoltaic,110399.87
2021,Thermal,869615.41
2021,Wind,106679.51
2022,Bagasse & coal,261755.16
2022,Bioenergies,198428.43
2022,Geothermy,96434.7
2022,Hydraulic,12476.52
2022,Photovoltaic,109468.96
2022,Thermal,846902.3
2022,Wind,110926.56
2023,Bagasse & coal,242581.11
2023,Bioenergies,242559.69
2023,Geothermy,111017.81
2023,Hydraulic,11896.74
2023,Photovoltaic,108736.66
2023,Thermal,856941.787312
2023,Wind,96527.75
2024,Bagasse & coal,265420.905
2024,Bioenergies,173630.75999999992
2024,Geothermy,91365.86
2024,Hydraulic,15246.47
2024,Photovoltaic,113660.09999999996
2024,Thermal,959086.354981999
2024,Wind,83172.74999999996
